Node,Type,Degree_Centrality,Betweenness_Centrality,PageRank
Spoofing,STRIDE,0.2962962962962963,0.01566951566951567,0.06280039787596517
"System failure, safety hazard",Impact,0.14814814814814814,0.0,0.05926014258813743
DoS,STRIDE,0.2962962962962963,0.01638176638176638,0.04804681704455293
Command-Line Interface,MITRE_Technique,0.07407407407407407,0.0,0.04689415132391574
Elevation,STRIDE,0.14814814814814814,0.004273504273504274,0.04612039406975069
Tampering,STRIDE,0.3333333333333333,0.01851851851851852,0.04578177136013449
"Minimal impact, easily recoverable",Impact,0.1111111111111111,0.0,0.04518742802503483
Modify System Firmware,MITRE_Technique,0.07407407407407407,0.0,0.043556620642461685
Internet Accessible Device,MITRE_Technique,0.037037037037037035,0.0,0.03382655274578603
Manipulation of View,MITRE_Technique,0.037037037037037035,0.0,0.03382655274578603
Spoof Reporting Message,MITRE_Technique,0.037037037037037035,0.0,0.03382655274578603
Manipulate I/O Image,MITRE_Technique,0.037037037037037035,0.0,0.03382655274578603
Automated Collection,MITRE_Technique,0.037037037037037035,0.0,0.03282143676081314
Program Upload,MITRE_Technique,0.037037037037037035,0.0,0.03282143676081314
Denial of Service,MITRE_Technique,0.037037037037037035,0.0,0.03173645189374195
Denial of Control,MITRE_Technique,0.037037037037037035,0.0,0.03173645189374195
Loss of Availability,MITRE_Technique,0.037037037037037035,0.0,0.03173645189374195
Device Restart/Shutdown,MITRE_Technique,0.037037037037037035,0.0,0.03173645189374195
Manipulation of Control,MITRE_Technique,0.037037037037037035,0.0,0.03048902206433198
Modify Parameter,MITRE_Technique,0.037037037037037035,0.0,0.03048902206433198
Data Destruction,MITRE_Technique,0.037037037037037035,0.0,0.03048902206433198
Indicator Removal on Host,MITRE_Technique,0.037037037037037035,0.0,0.03048902206433198
Info Disclosure,STRIDE,0.14814814814814814,0.0035612535612535613,0.0278525899983502
SCADA,Component,0.07407407407407407,0.0,0.024929741346926118
Control Network,Component,0.037037037037037035,0.0,0.024929741346926118
PLC,Component,0.07407407407407407,0.0,0.024929741346926118
HMI,Component,0.037037037037037035,0.0,0.024929741346926118
Sensor Network,Component,0.07407407407407407,0.0,0.024929741346926118
